	DNA_blank_P1	DNA_blank_P2	EL_003_pre	EL_003_pw	EL_007_un	EL_007_un1	EL_022_pre	EL_023_pre	EL_025_un	EL_025_un1	EL_026_pre	EL_027_pre1	EL_027_pre2	EL_028_pre1	EL_028_pre2	EL_031_pre	EL_032_pre	EL_035_pw	EL_036_pre	EL_036_pw	EL_047_pre	EL_050_pre	EL_050_pw	EL_051_pre	EL_051_pw	EL_052_pre	EL_052_pw	EL_059_pre	EL_059_pw	EL_068_pre1	EL_068_pre2	EL_070_pm	EL_070_pre	EL_070_pw	EL_073_pre	EL_074_pre	EL_074_pw	EL_075_pm	EL_075_pre	EL_075_pw	EL_078_pre	EL_078_pw	FS_006_pre_in	FS_006_pre_out	FS_006_pre1	FS_024_pre	NE.077_pre	NE_002_pre1	NE_002_pre2	NE_002_pw	NE_009_un	NE_009_un1	NE_010_un	NE_010_un1	NE_012_un	NE_012_un1	NE_018_pre	NE_018_pw	NE_021_pre	NE_034_pre	NE_034_pw	NE_035_pre	NE_037_pre	NE_038_pre	NE_041_pre	NE_041_pw	NE_043_pre	NE_056_pre	NE_056_pw	NE_058_pre	NE_058_pw	NE_063_pre	NE_063_pw	NE_066_pre	NE_067_pre	NE_067_pw	NE_069_pre	NE_069_pw	NE_071_pre	NE_072_pre	NE_079_pre	NE_079_pw	PA_001_pre	PA_001_pw	PA_008_un	PA_008_un1	PA_011_un	PA_011_un1	PA_013_pre	PA_013_pw	PA_014_pre	PA_014_pw	PA_015_pre	PA_015_pw	PA_016_un	PA_016_un1	PA_019_pre	PA_029_pre1	PA_029_pre2	PA_029_pw	PA_030_pre1	PA_030_pre2	PA_030_pw	PA_033_pm	PA_033_pre	PA_033_pw	PA_039_pre	PA_040_pre	PA_042_pre	PA_042_pw	PA_044_pm	PA_044_pre	PA_044_pw	PA_045_pre	PA_045_pw	PA_046_pre	PA_046_pw	PA_048_pre	PA_048_pw1	PA_048_pw2	PA_049_pre	PA_049_pw	PA_053_pre	PA_053_pw	PA_054_pre	PA_054_pw	PA_055_pre	PA_055_pw	PA_057_pre	PA_057_pw	PA_060_pre	PA_060_pw	PA_061_pre1	PA_061_pre2	PA_061_pw	PA_062_pre	PA_064_pre	PA_064_pw	PA_065_pre	PA_065_pw	PA_076_pre	PA_076_pw	PA_080_pre	PA_080_pw	PCR_blank_P1	PCR_blank_P2	SPIKE_P1	SPIKE_P2	UP_001	UP_006	UP_006_1	UP_006_2	UP_006_3	UP_006_4	UP_015	UP_030	US_001	US_006	US_006_2	US_006_4	US_015	US_030
Rikenellaceae RC9 gut group	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17	0	0	0	0	0	0	0	0.09	0	0.05	0	0	0	0.03	0	0	0.02	0	0	0	0	0	0.02	0.33	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0.09	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.07	0	0.09	0	0.06	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0
Romboutsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62	0	0.13	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09	0	1.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseburia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0	0	0	0	0.12	0.13	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruthenibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S5-A14a	0	0.19	0	0.03	0.03	0.01	0.21	0.43	0.26	0.02	0.08	0.04	0.08	0.03	0.01	0.06	0	0.12	0.02	0.61	0.14	0.04	0	0.19	0.02	0.23	4.64	0.05	0	0.01	0.01	0	0.02	0.07	0.11	0.02	0	0	0.16	0.05	0.23	0.09	0.15	0.07	0.01	0	0.08	0.08	0.04	0	0.66	0.07	0.05	0.04	0.02	0.03	0.15	0.05	0.02	0.32	0.07	0	0.62	0.07	0	0	0.02	0	0	0.04	0.05	0.05	0.91	0	0.12	0.01	0.04	0.41	0	0	0.09	0.02	0	0.03	0.4	0.05	0.42	0.84	0	0	0.34	0	0.09	0.24	0.05	0.47	0	0	0.03	0	2.8	2.15	0.07	0	0.01	0.14	0.28	0.02	0.38	0.13	0.03	0.05	0.06	0.05	0	0.01	0.2	0	0.02	0.08	0.14	3.45	0.07	0	0.06	0	0.07	0.26	0	0	0	0.11	0	0.04	0.03	0.02	0.02	0.1	0.04	0	0.01	0.44	0.02	0.29	0.23	0	0.01	0	0.04	0	0.22	0	0.18	0.48	0	0.08	0.06	0.08	0.33	0.18	0.17	0.06
Salmonella	0	0	0	0	0.18	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0.19	0.22	0.08	0	0	0	0	0	0	0.32	0	0.17	0	0.1	0	0	0	1.11	0.36	0	0	0.19	0	0	0	0	0.43	0.06	0	0	0	0.15	0.18	0	0	0.36	0	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0.43	0	0	0	0	0.24	0	0	0	0.06	0	0	0	0	0	0	0.13	0	0	0	0	0.14	0	0.41	0	0	0	0	0	0.88	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19	0.76	0	0	0	0.11	0	0	0	0	0	0.12	0	0	0	0.22	0	0.29	0	0	0.56	11.71	13.07	0	0	0	0	0	0	0	0	0	0.48	0	0	9.28	0
Sarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schaalia	0.89	0.01	0.08	0	0.25	0.18	0.08	0.02	0.51	0.43	0.34	0.25	0.28	0.24	0.07	0.17	0.08	0.91	0.08	1.26	0.06	0.13	0.03	0.15	0.1	0.24	0.29	1.39	0.02	0.05	0.02	0.17	1.32	0	0.32	0.92	0.28	0.11	0.22	0.76	4.29	0.16	0.41	0.54	0.1	0.14	0.13	0.68	0.72	0	0.09	0.04	0.1	0.62	0.33	0	0.59	0.27	0.18	0	0	1.94	0.31	0.01	0	1.01	0.07	0.09	0.87	0.13	0.6	0.13	0.47	0.22	1.87	0.14	0.05	0.56	0.07	1.24	0.02	0	0.51	0.22	2.03	0.42	0.25	1.33	0.35	0.08	0.39	0.13	0.1	0.24	0.06	0.17	0.01	0.13	0.18	0.37	0	0.07	0.04	0.63	0.31	0.08	3.59	0.15	0.86	0.02	1.35	0.01	0	0.1	0	0.08	0.03	5.72	0.33	0.11	0.11	0.44	0.06	0.51	0.23	0.03	1.14	0.02	0.07	0.92	0.45	0.15	1.05	0.33	0.06	0.13	0.07	0.35	1.99	0	0.12	0.22	0.11	0.22	0.38	0.45	0.1	0	0.55	0	0.51	0.54	0.56	0.23	0.43	0.79	0	0.12	0.45	0.41	0	0.69
Segatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slackia	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.04	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0.03	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0
Sneathia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus	3.44	24.02	0.36	25.57	3.53	42.7	5.04	5.63	18.51	6.17	11.92	1.56	7.44	3.16	1.26	8.45	1.55	0.49	2.48	1.07	3.34	0.98	0.64	3.92	75.6	1.66	3.63	5.01	62.31	4.84	2.38	40.33	3.77	56.9	12.29	12.37	2.63	58.21	7.39	19.8	1.63	33.24	3.74	0.92	5.22	3.87	5.37	18.85	13.16	70.98	2.92	54.06	67.56	1.07	3.8	2.21	4.89	21.14	1.48	6.6	52.23	0.95	0.53	0.54	1.02	18.75	3.26	4.15	18.77	5.73	13.45	3.86	4.62	1.87	3.86	7.05	3.52	7.41	14.5	1.67	3.31	50.84	15.68	57.3	5.97	10.24	21.75	3.9	2.69	42.35	7.27	39.09	2.71	26.54	8.44	4.18	9.25	1.8	2.1	8.44	2.2	2.17	74.37	16.89	3.61	10.52	3.69	3.73	1.09	32.4	21.09	10.02	94.1	4.24	88.16	4	28.71	0.86	43.57	68.52	2.87	2.73	1.43	33.75	4.31	41.58	2.92	17.46	1.17	20.3	2.43	30.97	16.97	43.54	60.82	1.24	0.16	18.01	3.07	14.54	0.63	14	1.56	2.77	18.09	14.46	10.73	14.03	19.36	31.69	6.08	5.45	15.44	7.82	1.22	19.23	1.06	24.82	3.2	14.29	12.63	3.62
Stenotrophomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus	0.34	0.21	0.07	0	0.23	0.35	0.11	0.74	0.95	0	1.07	0	0.01	0.02	0.25	0.28	0.3	0.04	0.15	0.03	1.21	0.3	0	1.23	0.49	0.01	0	0.04	0.77	0.02	0.01	0.77	0.05	0.17	0	0	0	0.37	0.12	1.04	0.15	0.08	0	0	0	0.18	0.72	1.01	0.87	0.85	0.02	0	0.37	0.02	0	0.14	2.17	7.75	0.18	0	0.49	0.02	0.25	0	0	0.65	0.14	0.79	0.86	0	0.35	0	1.03	0.52	9.23	0.25	0.03	0.51	0.03	0.62	0.02	0.89	0.5	0.28	0.38	0.2	0	0	0.13	0	0.34	0	0.02	1.28	27.57	2.97	1.08	0.03	0.14	0.13	0	0.15	0.15	0.58	0.53	2.01	0.56	0.03	0.12	0.33	2	0.42	0.09	17.67	0	0	0.94	8.69	2.41	0.16	0.27	0.46	0.09	2.81	0.53	0	0.07	1.18	0.07	1.38	0.06	0	5.52	0.81	0.03	0.15	0.01	0.24	0.18	0.3	0.11	0	0.03	0	4.02	0.09	0	0.02	0.39	0	0.51	0.27	2	1.43	0.05	0.53	0	0.13	0	1.51	0	0.38
Sutterella	0	0	0	0.01	0	0	0.23	0	0	0	0.05	0	0.02	0	0	0	0	0	0	0	0.04	0.01	0	1.72	0	0	0.01	0	0	0.01	0.04	0	0	0	0	0.49	0	0	0	0	0	0	0.21	0.3	0.01	0	0.05	0	0	0	0	0.01	0.01	0	0	0	0	0	0.01	0	0	0	0.02	0.14	0	0	0	0	0	0	0	0.09	0.05	0	0	0	0.04	0	0	0	0.24	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0.01	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.11	0.05	0.06	0	0	0	0	0	0	0	0
Terrisporobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermoactinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thomasclavelia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0
Turicibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tyzzerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Varibaculum	3.92	6.19	10.94	2.2	20.01	1.24	2.37	13.87	8.36	7.33	9.18	9.89	10.63	18.54	20.06	3.53	9.02	2.7	6.76	2.44	14.08	10.55	0.51	17.7	2.92	7.17	6.96	1.95	2.96	10.88	8.79	2.14	1.61	5.6	5.86	16.97	3.6	2.92	5.97	2.37	4.72	3.28	12.2	8.18	10.08	4	7.7	3.06	2.91	2.02	10.99	3.64	2.98	1.35	10.63	0.34	20.72	2.8	7.15	6.67	4.69	6.12	12.11	2.05	8.2	5.47	5.78	6.42	7.11	7.09	5.9	7.76	12.66	6.47	4.59	2.31	9.9	10.72	6.12	2.51	12.61	1.16	5.53	2.52	4.02	2.24	8.57	5.78	15.65	5.36	7.75	3.88	8.49	6.4	1.72	3.49	7.88	9.45	9.69	0.75	4.3	4.19	2.39	7.15	14.03	8	6.57	2.69	2.73	2.92	4.64	2.48	1.13	13.33	0.44	18.37	8.34	1.32	3	1.89	8.32	3.59	4.4	6.16	6.86	4.49	11.22	8.11	2.81	7.32	2.23	2.67	3.69	1.74	2.91	1.62	11.5	7.62	6.69	11.25	12.02	6.4	20.85	0.94	9.24	9.59	3.75	0.4	10.46	9.73	6.67	12.01	11.71	7.99	9.16	9.2	0.47	7.7	12.33	14.34	5.84	11.57
Veillonella	0	0	0.04	0.02	0.12	0	0.07	0.1	0	0	0	0.35	0.04	0	0	4.51	0	0	0.06	0	0.16	0.39	0	0	0.04	0.27	0.03	0	0.01	0.19	0.02	0.08	0.01	0.44	0	0.03	0	0.07	0.07	0.79	0	0	0	0	0.03	11.39	0	0.1	0.17	0	0	0	0.02	0.01	0	0	0	0.54	0.07	0	0.87	0.09	0	0	0.33	0	0.11	0	0	0	0	0.04	0	0	0.11	0.05	0.01	0.26	2.3	0.11	0	0	0	0.33	0	0.16	0.11	0	0.04	0	0.26	0	0.02	0	0	0	0.06	0.01	0	0.08	0	0.09	0	0	0.14	0	0	0	0	0.01	0	0	0	0.03	0	0	0.94	0.03	0.43	0	0.06	0	0.07	0.14	0	0	0	0	0	0	0.01	0	0	0.12	0	15.87	0	0	0.1	0.63	0	0	0.15	0	0.23	0.06	0	0	0.36	0	0.27	0	0	0	1.19	0.27	0	0.12	0	0.56	0	2.26
W5053	0.1	0.35	0.01	0.03	0.06	0.02	1.72	0.03	0	0.4	0.03	0	0.04	0	0.01	0	0.48	0.03	1.48	0.07	0.03	0.04	0.01	0	0	0.03	0.04	0	0.02	0	0	0.1	0.08	0.01	0.14	0	0.28	0.06	0.14	0.11	0.86	0.05	0.06	0	0	0.01	1.61	0	0.04	0	1.9	0.13	0.02	0.19	0.18	0.01	0	0.18	1.32	0.27	0.04	0.03	0	0.33	0.01	0	0.06	0	0.07	0.02	0.29	0.65	0.05	0.09	0.02	0.04	0.19	0.18	0.06	1.67	0.72	0	0	0.06	0.07	0.08	0	0.01	0.04	0	0.11	0	0.86	0	0.01	0.63	0.67	0.04	0	0	1.71	1.65	0.08	0.2	0.02	0.04	0.08	0.04	0.04	0.15	0.06	0	0	0.03	0	0.06	0.01	0	0.09	0.09	0.06	0.05	0.05	0.05	0.06	0	0.09	0.23	0.15	0	1.82	0.05	0	0.03	0.06	0.03	0.07	0.06	0.04	0	1.91	0.22	0.01	0	0.13	0.08	0.11	0	0.01	0	0.28	0	0	0.16	0.19	0.41	0	0.46	0.3	0.02	0.04	0.03
Winkia	2.35	0.8	0.11	5.52	0.55	10.7	0.15	1.29	0.52	0	0.24	0.11	0.13	0	0.05	0.21	0.24	0.13	0.23	1.93	0.06	0.17	3.09	0.09	0.08	0.39	0.15	0	1.08	0	0.17	0	0.06	0.47	0.51	0.19	0.9	5.56	0.34	8.65	0	0.04	0.2	0.03	0	0.25	0.34	0.15	0.15	0	0.09	0.81	0.31	0.04	0.16	1.03	0	1.01	0.15	0	0.3	0.19	0.06	0.02	0.15	0	0.18	0.46	0.22	0.21	0	0.1	0.62	0.05	0.26	0.09	0.16	0.9	0.25	0.52	0.21	1.76	0	0.55	1.62	2.93	0.23	0.06	0.2	0	0.95	0.73	0.06	1.48	7.4	0.13	0.82	0.05	0.08	26.45	0.15	0.15	0.31	1.41	0.52	2.36	0.21	0.24	0.1	0.15	0.55	0.64	0	0.32	0.08	0.04	0.84	0.11	2.29	0.28	0.28	0.21	0.08	0.51	0.09	3.53	0	2.01	0.17	0	0.06	0	0.16	0.2	0.06	4.13	0	0	0.26	0	0	0.06	0	0.53	1.08	0.2	0.14	0.42	1.87	0	0.85	0	0.58	0.31	0.58	1.03	0.95	0.36	0	0.69	4.9	1.88
